race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all,shown,field_shown
2025R4,Sakhir,NOR,6,2,SOFT-MEDIUM-MEDIUM,"[10, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,0,0,1,3,"[3, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,VER,7,2,SOFT-HARD-MEDIUM,"[10, 26]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,0,1,3,"[3, 7]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,HAM,9,2,MEDIUM-MEDIUM-HARD,"[17, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,0,0,1,4,"[4, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,TSU,10,2,SOFT-MEDIUM-SOFT,"[11, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,1,1,2,"[2, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,DOO,11,2,SOFT-MEDIUM-HARD,"[9, 28]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,1,1,4,"[4, 5]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,HAD,12,2,SOFT-MEDIUM-HARD,"[6, 28]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,1,1,7,"[7, 5]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,ALO,13,2,MEDIUM-MEDIUM-HARD,"[16, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,0,0,1,3,"[3, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,OCO,14,2,SOFT-MEDIUM-HARD,"[8, 27]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,1,1,5,"[5, 6]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,ALB,15,2,SOFT-HARD-MEDIUM,"[16, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,0,1,3,"[3, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,HUL,16,2,SOFT-MEDIUM-MEDIUM,"[5, 27]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,0,0,1,8,"[8, 6]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
